
Assembly Code:
      Line         OP          L          M
         0        JMP          0          3
         1        INC          0          5
         2        LOD          0          4
         3        LIT          0          2
         4        OPR          0          3
         5        LIT          0         10
         6        OPR          0          3
         7        STO          0          3
         8        LOD          0          4
         9        LIT          0          2
        10        OPR          0          3
        11        LIT          0         10
        12        OPR          0          3
        13        STO          0          3
        14        LOD          0          4
        15        LIT          0          2
        16        OPR          0          3
        17        LIT          0         10
        18        OPR          0          3
        19        STO          0          3
        20        LOD          0          4
        21        LIT          0          2
        22        OPR          0          3
        23        LIT          0         10
        24        OPR          0          3
        25        STO          0          3
        26        LOD          0          4
        27        LIT          0          2
        28        OPR          0          3
        29        LIT          0         10
        30        OPR          0          3
        31        STO          0          3
        32        LOD          0          4
        33        LIT          0          2
        34        OPR          0          3
        35        LIT          0         10
        36        OPR          0          3
        37        STO          0          3
        38        LOD          0          4
        39        LIT          0          2
        40        OPR          0          3
        41        LIT          0         10
        42        OPR          0          3
        43        STO          0          3
        44        LOD          0          4
        45        LIT          0          2
        46        OPR          0          3
        47        LIT          0         10
        48        OPR          0          3
        49        STO          0          3
        50        LOD          0          4
        51        LIT          0          2
        52        OPR          0          3
        53        LIT          0         10
        54        OPR          0          3
        55        STO          0          3
        56        LOD          0          4
        57        LIT          0          2
        58        OPR          0          3
        59        LIT          0         10
        60        OPR          0          3
        61        STO          0          3
        62        LOD          0          4
        63        LIT          0          2
        64        OPR          0          3
        65        LIT          0         10
        66        OPR          0          3
        67        STO          0          3
        68        LOD          0          4
        69        LIT          0          2
        70        OPR          0          3
        71        LIT          0         10
        72        OPR          0          3
        73        STO          0          3
        74        LOD          0          4
        75        LIT          0          2
        76        OPR          0          3
        77        LIT          0         10
        78        OPR          0          3
        79        STO          0          3
        80        LOD          0          4
        81        LIT          0          2
        82        OPR          0          3
        83        LIT          0         10
        84        OPR          0          3
        85        STO          0          3
        86        LOD          0          4
        87        LIT          0          2
        88        OPR          0          3
        89        LIT          0         10
        90        OPR          0          3
        91        STO          0          3
        92        LOD          0          4
        93        LIT          0          2
        94        OPR          0          3
        95        LIT          0         10
        96        OPR          0          3
        97        STO          0          3
        98        LOD          0          4
        99        LIT          0          2
       100        OPR          0          3
       101        LIT          0         10
       102        OPR          0          3
       103        STO          0          3
       104        LOD          0          4
       105        LIT          0          2
       106        OPR          0          3
       107        LIT          0         10
       108        OPR          0          3
       109        STO          0          3
       110        LOD          0          4
       111        LIT          0          2
       112        OPR          0          3
       113        LIT          0         10
       114        OPR          0          3
       115        STO          0          3
       116        LOD          0          4
       117        LIT          0          2
       118        OPR          0          3
       119        LIT          0         10
       120        OPR          0          3
       121        STO          0          3
       122        LOD          0          4
       123        LIT          0          2
       124        OPR          0          3
       125        LIT          0         10
       126        OPR          0          3
       127        STO          0          3
       128        LOD          0          4
       129        LIT          0          2
       130        OPR          0          3
       131        LIT          0         10
       132        OPR          0          3
       133        STO          0          3
       134        LOD          0          4
       135        LIT          0          2
       136        OPR          0          3
       137        LIT          0         10
       138        OPR          0          3
       139        STO          0          3
       140        LOD          0          4
       141        LIT          0          2
       142        OPR          0          3
       143        LIT          0         10
       144        OPR          0          3
       145        STO          0          3
       146        LOD          0          4
       147        LIT          0          2
       148        OPR          0          3
       149        LIT          0         10
       150        OPR          0          3
       151        STO          0          3
